time,year,month,day,hour,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,power_44008
2018-02-23 18:00:00,2018.0,2.0,23.0,18.0,1.22,5.56,4.59,57.0,1032.6,5.1,6.6,3.3407286839999997
2018-02-23 19:00:00,2018.0,2.0,23.0,19.0,1.19,5.56,4.71,69.0,1031.3,5.3,6.5,3.2615473589999997
2018-02-23 20:00:00,2018.0,2.0,23.0,20.0,1.17,5.56,4.85,61.0,1030.5,5.6,6.5,3.2465516849999996
2018-02-23 21:00:00,2018.0,2.0,23.0,21.0,1.15,5.88,4.66,64.0,1029.8,5.8,6.5,3.013633649999999
2018-02-23 22:00:00,2018.0,2.0,23.0,22.0,1.21,5.56,4.65,59.0,1028.5,6.0,6.5,3.3291437850000003
2018-02-23 23:00:00,2018.0,2.0,23.0,23.0,1.26,5.56,4.75,53.0,1026.9,6.3,6.5,3.6875979
2018-02-24 00:00:00,2018.0,2.0,24.0,0.0,1.19,5.88,4.81,72.0,1024.9,8.0,6.5,3.3307946489999996
2018-02-24 01:00:00,2018.0,2.0,24.0,1.0,1.22,5.26,4.65,45.0,1022.8,8.7,6.6,3.3843983399999997
2018-02-24 02:00:00,2018.0,2.0,24.0,2.0,1.27,5.56,4.63,68.0,1020.6,9.1,6.6,3.651718503
2018-02-24 03:00:00,2018.0,2.0,24.0,3.0,1.25,4.55,4.46,108.0,1018.6,9.9,6.6,3.40771875
2018-02-24 05:00:00,2018.0,2.0,24.0,5.0,1.43,5.88,4.56,117.0,1018.4,9.8,6.6,4.559799815999999
2018-02-24 07:00:00,2018.0,2.0,24.0,7.0,1.44,5.56,4.43,151.0,1018.1,7.9,6.6,4.491977471999999
2018-02-24 08:00:00,2018.0,2.0,24.0,8.0,1.42,5.26,4.34,160.0,1017.9,7.3,6.6,4.279325064
2018-02-24 09:00:00,2018.0,2.0,24.0,9.0,1.56,4.35,4.46,248.0,1018.1,6.6,6.5,5.307535584000001
2018-02-24 10:00:00,2018.0,2.0,24.0,10.0,1.74,5.0,4.54,240.0,1018.6,6.4,6.6,6.721453656
2018-02-24 11:00:00,2018.0,2.0,24.0,11.0,1.66,6.67,4.75,204.0,1019.4,6.5,6.6,6.400569899999999
2018-02-24 12:00:00,2018.0,2.0,24.0,12.0,1.61,5.88,4.86,234.0,1020.0,6.7,6.6,6.160229334000001
2018-02-24 13:00:00,2018.0,2.0,24.0,13.0,1.66,5.88,4.99,238.0,1019.9,6.3,6.5,6.723967115999999
2018-02-24 14:00:00,2018.0,2.0,24.0,14.0,1.63,6.25,5.02,231.0,1020.1,5.9,6.5,6.522104981999999
2018-02-24 16:00:00,2018.0,2.0,24.0,16.0,1.69,6.25,5.35,233.0,1019.5,5.4,6.4,7.471986014999998
2018-02-24 17:00:00,2018.0,2.0,24.0,17.0,1.59,6.25,5.37,238.0,1019.5,5.5,6.4,6.638613633
2018-02-24 18:00:00,2018.0,2.0,24.0,18.0,1.5,6.25,5.24,231.0,1019.3,5.7,6.4,5.76531
2018-02-24 20:00:00,2018.0,2.0,24.0,20.0,1.43,6.25,5.28,230.0,1020.5,5.9,6.5,5.279768207999999
2018-02-24 23:00:00,2018.0,2.0,24.0,23.0,1.08,6.67,5.12,237.0,1022.6,6.4,6.6,2.920292352
2018-02-25 00:00:00,2018.0,2.0,25.0,0.0,1.04,6.67,5.09,228.0,1022.2,6.4,6.6,2.692113216
2018-02-25 01:00:00,2018.0,2.0,25.0,1.0,1.01,6.25,5.21,243.0,1022.3,6.4,6.6,2.598898569
2018-02-25 02:00:00,2018.0,2.0,25.0,2.0,1.06,6.25,5.34,231.0,1022.5,6.4,6.5,2.934011736
2018-02-25 03:00:00,2018.0,2.0,25.0,3.0,0.93,6.25,5.39,234.0,1023.7,6.4,6.4,2.279625579
2018-02-25 04:00:00,2018.0,2.0,25.0,4.0,0.89,6.25,5.31,219.0,1024.0,6.5,6.4,2.056758939
