time,year,month,day,hour,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP
2018-02-23 18:00:00,2018.0,2.0,23.0,18.0,352.0,3.1,3.5,1.81,8.33,5.9,84.0,1030.1,6.5,6.1
2018-02-23 19:00:00,2018.0,2.0,23.0,19.0,337.0,4.4,5.4,1.87,8.33,6.08,86.0,1029.8,6.4,6.2
2018-02-23 20:00:00,2018.0,2.0,23.0,20.0,344.0,3.1,3.8,1.65,8.33,5.96,80.0,1029.0,6.2,6.2
2018-02-23 21:00:00,2018.0,2.0,23.0,21.0,17.0,0.8,1.6,1.49,7.14,5.7,78.0,1028.0,6.0,6.2
2018-02-23 22:00:00,2018.0,2.0,23.0,22.0,244.0,1.6,2.0,1.56,7.69,5.87,87.0,1027.6,5.9,6.2
2018-02-23 23:00:00,2018.0,2.0,23.0,23.0,290.0,2.2,2.9,1.54,7.69,5.92,92.0,1027.4,5.7,6.2
2018-02-24 00:00:00,2018.0,2.0,24.0,0.0,303.0,3.5,4.4,1.4,7.14,5.79,89.0,1027.4,5.6,6.2
2018-02-24 01:00:00,2018.0,2.0,24.0,1.0,303.0,1.7,2.4,1.3,7.14,5.69,78.0,1026.9,5.6,6.0
2018-02-24 02:00:00,2018.0,2.0,24.0,2.0,242.0,1.6,2.4,1.32,7.14,5.93,95.0,1026.6,5.8,6.0
2018-02-24 03:00:00,2018.0,2.0,24.0,3.0,209.0,3.7,4.7,1.29,7.69,5.91,97.0,1025.7,6.3,6.1
2018-02-24 05:00:00,2018.0,2.0,24.0,5.0,210.0,4.6,5.4,1.16,7.69,5.85,103.0,1025.0,6.6,6.2
2018-02-24 07:00:00,2018.0,2.0,24.0,7.0,196.0,4.5,5.1,1.01,7.14,5.65,81.0,1023.6,6.5,6.2
2018-02-24 08:00:00,2018.0,2.0,24.0,8.0,205.0,3.8,4.5,0.91,7.69,5.62,92.0,1023.3,6.6,6.2
2018-02-24 09:00:00,2018.0,2.0,24.0,9.0,192.0,4.0,4.7,0.89,7.14,5.76,93.0,1023.0,6.6,6.2
2018-02-24 10:00:00,2018.0,2.0,24.0,10.0,189.0,4.4,5.1,0.82,6.67,5.56,84.0,1022.7,6.6,6.1
2018-02-24 11:00:00,2018.0,2.0,24.0,11.0,191.0,3.1,3.9,0.86,6.67,5.99,90.0,1023.2,6.6,6.1
2018-02-24 12:00:00,2018.0,2.0,24.0,12.0,148.0,2.1,2.5,0.78,7.69,5.97,123.0,1023.0,6.6,6.0
2018-02-24 13:00:00,2018.0,2.0,24.0,13.0,160.0,3.1,3.5,0.74,9.09,6.06,127.0,1023.1,6.8,6.0
2018-02-24 14:00:00,2018.0,2.0,24.0,14.0,172.0,3.9,4.4,0.74,6.67,6.08,78.0,1022.3,7.1,6.1
2018-02-24 16:00:00,2018.0,2.0,24.0,16.0,166.0,2.4,2.9,0.64,8.33,6.25,128.0,1021.5,7.4,6.3
2018-02-24 17:00:00,2018.0,2.0,24.0,17.0,124.0,0.7,1.4,0.65,7.69,6.01,140.0,1020.8,7.9,6.8
2018-02-24 18:00:00,2018.0,2.0,24.0,18.0,171.0,0.3,0.6,0.6,9.09,6.12,148.0,1020.1,9.0,7.4
2018-02-24 20:00:00,2018.0,2.0,24.0,20.0,23.0,3.7,4.4,0.57,7.14,6.14,135.0,1020.6,7.3,6.6
2018-02-24 23:00:00,2018.0,2.0,24.0,23.0,48.0,6.0,6.9,0.55,10.0,5.19,113.0,1020.9,7.2,6.3
2018-02-25 00:00:00,2018.0,2.0,25.0,0.0,32.0,6.1,7.3,0.57,8.33,4.27,117.0,1021.8,7.2,6.2
2018-02-25 01:00:00,2018.0,2.0,25.0,1.0,49.0,6.4,7.2,0.73,9.09,4.59,119.0,1021.2,7.4,6.2
2018-02-25 02:00:00,2018.0,2.0,25.0,2.0,59.0,6.3,7.6,0.75,9.09,4.04,145.0,1020.8,7.6,6.2
2018-02-25 03:00:00,2018.0,2.0,25.0,3.0,75.0,6.6,7.6,0.72,3.7,4.03,70.0,1020.0,7.6,6.3
2018-02-25 04:00:00,2018.0,2.0,25.0,4.0,73.0,4.2,4.8,0.82,3.57,4.37,60.0,1020.4,7.7,6.3
2018-02-25 05:00:00,2018.0,2.0,25.0,5.0,69.0,3.9,4.3,0.72,8.33,4.28,126.0,1019.7,7.7,6.4
2018-02-25 06:00:00,2018.0,2.0,25.0,6.0,25.0,4.9,5.5,0.75,4.0,4.38,71.0,1019.2,7.3,6.4
2018-02-25 07:00:00,2018.0,2.0,25.0,7.0,47.0,5.5,6.5,0.76,4.17,4.42,73.0,1017.9,7.4,6.4
2018-02-25 08:00:00,2018.0,2.0,25.0,8.0,67.0,4.2,5.1,0.72,4.35,4.35,78.0,1017.3,7.7,6.4
2018-02-25 09:00:00,2018.0,2.0,25.0,9.0,82.0,4.7,5.4,0.75,4.35,4.57,76.0,1016.6,8.5,6.3
2018-02-25 10:00:00,2018.0,2.0,25.0,10.0,116.0,3.7,4.5,0.72,6.67,4.52,129.0,1016.0,8.6,6.2
2018-02-25 11:00:00,2018.0,2.0,25.0,11.0,164.0,4.4,5.0,0.76,7.69,4.63,151.0,1015.6,8.1,6.1
2018-02-25 12:00:00,2018.0,2.0,25.0,12.0,197.0,4.7,5.3,0.71,7.69,4.58,152.0,1016.2,7.7,6.1
2018-02-25 14:00:00,2018.0,2.0,25.0,14.0,190.0,6.8,7.9,0.83,9.09,4.69,147.0,1014.9,8.3,6.1
2018-02-25 15:00:00,2018.0,2.0,25.0,15.0,203.0,7.4,8.7,0.78,7.14,4.22,159.0,1014.9,8.7,6.1
2018-02-25 16:00:00,2018.0,2.0,25.0,16.0,222.0,6.3,7.4,0.81,7.14,4.16,138.0,1015.0,8.4,6.2
2018-02-25 17:00:00,2018.0,2.0,25.0,17.0,213.0,5.6,6.5,0.89,4.55,4.27,123.0,1014.3,9.0,6.2
2018-02-25 18:00:00,2018.0,2.0,25.0,18.0,189.0,4.3,4.9,1.0,5.0,4.56,168.0,1013.4,8.3,6.4
2018-02-25 19:00:00,2018.0,2.0,25.0,19.0,169.0,1.5,2.1,1.05,5.26,4.82,152.0,1013.1,12.0,6.4
2018-02-25 21:00:00,2018.0,2.0,25.0,21.0,113.0,1.5,2.1,1.15,5.56,4.95,127.0,1014.5,8.2,6.4
2018-02-25 22:00:00,2018.0,2.0,25.0,22.0,56.0,2.3,2.7,1.04,5.88,5.18,139.0,1015.2,7.8,6.4
2018-02-25 23:00:00,2018.0,2.0,25.0,23.0,29.0,1.8,2.3,1.09,5.56,5.14,133.0,1015.7,7.8,6.5
2018-02-26 00:00:00,2018.0,2.0,26.0,0.0,133.0,1.4,2.5,1.08,5.88,5.34,124.0,1016.3,7.9,6.5
2018-02-26 01:00:00,2018.0,2.0,26.0,1.0,38.0,0.8,2.0,1.21,5.88,5.58,113.0,1017.0,7.5,6.5
2018-02-26 02:00:00,2018.0,2.0,26.0,2.0,350.0,1.3,2.4,1.28,5.88,5.66,117.0,1017.2,7.5,6.5
2018-02-26 03:00:00,2018.0,2.0,26.0,3.0,91.0,4.3,5.7,1.24,7.14,5.66,74.0,1017.1,7.2,6.4
2018-02-26 04:00:00,2018.0,2.0,26.0,4.0,91.0,2.2,2.7,1.36,5.88,5.84,121.0,1017.9,7.3,6.4
2018-02-26 05:00:00,2018.0,2.0,26.0,5.0,55.0,1.7,2.1,1.23,6.67,5.71,96.0,1017.5,7.3,6.4
2018-02-26 06:00:00,2018.0,2.0,26.0,6.0,162.0,1.3,1.7,1.14,6.67,5.82,97.0,1018.0,7.4,6.3
2018-02-26 07:00:00,2018.0,2.0,26.0,7.0,335.0,1.5,1.9,1.27,7.14,5.9,97.0,1017.9,7.3,6.2
2018-02-26 08:00:00,2018.0,2.0,26.0,8.0,300.0,0.8,1.1,1.17,6.67,5.89,114.0,1018.0,6.9,6.2
2018-02-26 09:00:00,2018.0,2.0,26.0,9.0,332.0,2.4,2.8,1.16,7.14,5.85,86.0,1018.6,6.7,6.1
2018-02-26 10:00:00,2018.0,2.0,26.0,10.0,332.0,2.7,3.1,1.12,7.69,5.89,107.0,1019.4,6.4,6.1
2018-02-26 11:00:00,2018.0,2.0,26.0,11.0,318.0,2.9,3.5,1.0,8.33,5.87,101.0,1019.7,6.4,6.1
2018-02-26 12:00:00,2018.0,2.0,26.0,12.0,330.0,1.9,2.3,1.04,7.14,6.11,88.0,1021.0,6.5,6.1
2018-02-26 13:00:00,2018.0,2.0,26.0,13.0,314.0,3.0,3.6,1.04,8.33,6.13,116.0,1021.2,6.6,6.1
2018-02-26 14:00:00,2018.0,2.0,26.0,14.0,300.0,4.6,5.3,0.95,7.69,6.25,107.0,1022.2,6.5,6.1
2018-02-26 16:00:00,2018.0,2.0,26.0,16.0,311.0,4.9,6.1,0.96,7.14,6.23,98.0,1022.6,7.1,6.1
2018-02-26 17:00:00,2018.0,2.0,26.0,17.0,323.0,6.2,7.2,1.0,7.14,6.14,107.0,1021.7,7.6,6.0
2018-02-26 18:00:00,2018.0,2.0,26.0,18.0,325.0,7.4,8.7,0.98,7.69,5.01,108.0,1021.6,7.4,6.0
2018-02-26 19:00:00,2018.0,2.0,26.0,19.0,313.0,6.6,7.4,0.96,6.67,4.94,126.0,1022.1,7.4,6.1
2018-02-26 20:00:00,2018.0,2.0,26.0,20.0,330.0,4.5,5.2,0.86,7.14,4.77,107.0,1022.2,7.5,6.1
2018-02-26 21:00:00,2018.0,2.0,26.0,21.0,317.0,3.3,4.1,0.86,6.67,5.41,89.0,1023.0,7.4,6.1
2018-02-26 22:00:00,2018.0,2.0,26.0,22.0,323.0,2.2,2.9,0.78,7.69,5.53,109.0,1023.5,7.1,6.1
2018-02-27 00:00:00,2018.0,2.0,27.0,0.0,301.0,3.5,4.0,0.73,8.33,5.97,102.0,1024.7,7.0,6.0
2018-02-27 01:00:00,2018.0,2.0,27.0,1.0,305.0,4.0,4.7,0.69,8.33,6.47,105.0,1024.9,7.0,6.0
2018-02-27 02:00:00,2018.0,2.0,27.0,2.0,302.0,5.1,5.7,0.64,8.33,6.5,104.0,1025.6,7.4,6.0
2018-02-27 03:00:00,2018.0,2.0,27.0,3.0,296.0,3.9,4.4,0.71,7.14,6.54,114.0,1025.8,7.0,6.0
2018-02-27 04:00:00,2018.0,2.0,27.0,4.0,286.0,4.1,4.6,0.63,8.33,6.64,111.0,1026.3,6.9,6.1
