time	year	month	day	hour	WVHT	APD
2002-07-09 01:00:00	2002	7	9	1	0.58	5.0
2002-07-09 02:00:00	2002	7	9	2	0.58	4.94
2002-07-09 03:00:00	2002	7	9	3	0.62	5.72
2002-07-09 04:00:00	2002	7	9	4	0.64	5.1
2002-07-09 05:00:00	2002	7	9	5	0.68	5.37
2002-07-09 06:00:00	2002	7	9	6	0.7	5.6
2002-07-09 07:00:00	2002	7	9	7	0.77	5.7
2002-07-09 08:00:00	2002	7	9	8	0.69	5.44
2002-07-09 09:00:00	2002	7	9	9	0.92	5.77
2002-07-09 10:00:00	2002	7	9	10	0.94	5.83
2002-07-09 11:00:00	2002	7	9	11	0.93	5.41
2002-07-09 12:00:00	2002	7	9	12	1.19	6.23
2002-07-09 13:00:00	2002	7	9	13	1.24	6.43
2002-07-09 14:00:00	2002	7	9	14	1.36	6.92
2002-07-09 15:00:00	2002	7	9	15	1.29	6.1
2002-07-09 16:00:00	2002	7	9	16	1.45	6.97
2002-07-09 17:00:00	2002	7	9	17	1.56	5.83
2002-07-09 18:00:00	2002	7	9	18	1.71	5.58
2002-07-09 19:00:00	2002	7	9	19	1.72	5.57
2002-07-09 20:00:00	2002	7	9	20	1.7	5.53
2002-07-09 21:00:00	2002	7	9	21	1.78	5.77
2002-07-09 22:00:00	2002	7	9	22	1.85	5.81
2002-07-09 23:00:00	2002	7	9	23	1.73	5.63
2002-07-10 00:00:00	2002	7	10	0	1.73	5.85
2002-07-10 01:00:00	2002	7	10	1	1.72	5.91
2002-07-10 02:00:00	2002	7	10	2	1.87	6.03
2002-07-10 03:00:00	2002	7	10	3	1.79	6.18
2002-07-10 04:00:00	2002	7	10	4	1.7	6.43
2002-07-10 05:00:00	2002	7	10	5	1.84	6.86
2002-07-10 06:00:00	2002	7	10	6	1.85	6.65
2002-07-10 07:00:00	2002	7	10	7	1.86	6.73
2002-07-10 08:00:00	2002	7	10	8	2.04	6.93
2002-07-10 09:00:00	2002	7	10	9	1.74	6.5
2002-07-10 10:00:00	2002	7	10	10	1.72	6.21
2002-07-10 11:00:00	2002	7	10	11	1.66	6.21
2002-07-10 12:00:00	2002	7	10	12	1.58	6.46
2002-07-10 13:00:00	2002	7	10	13	1.68	6.58
2002-07-10 14:00:00	2002	7	10	14	1.7	5.77
2002-07-10 15:00:00	2002	7	10	15	2.0	5.4
2002-07-10 16:00:00	2002	7	10	16	2.26	5.66
2002-07-10 17:00:00	2002	7	10	17	2.47	5.68
2002-07-10 18:00:00	2002	7	10	18	2.39	5.75
2002-07-10 19:00:00	2002	7	10	19	2.2	5.78
2002-07-10 20:00:00	2002	7	10	20	2.16	6.07
2002-07-10 21:00:00	2002	7	10	21	2.18	5.96
2002-07-10 22:00:00	2002	7	10	22	1.89	5.65
2002-07-10 23:00:00	2002	7	10	23	2.07	5.93
2002-07-11 00:00:00	2002	7	11	0	2.05	5.57
2002-07-11 01:00:00	2002	7	11	1	2.04	5.33
2002-07-11 02:00:00	2002	7	11	2	1.98	5.3
2002-07-11 03:00:00	2002	7	11	3	2.01	5.12
2002-07-11 04:00:00	2002	7	11	4	2.11	5.42
2002-07-11 05:00:00	2002	7	11	5	2.17	5.47
2002-07-11 06:00:00	2002	7	11	6	2.15	5.33
2002-07-11 07:00:00	2002	7	11	7	2.12	5.55
2002-07-11 08:00:00	2002	7	11	8	2.0	5.34
2002-07-11 09:00:00	2002	7	11	9	2.0	5.26
2002-07-11 10:00:00	2002	7	11	10	1.89	5.55
2002-07-11 11:00:00	2002	7	11	11	1.83	5.49
2002-07-11 12:00:00	2002	7	11	12	1.76	5.27
2002-07-11 13:00:00	2002	7	11	13	1.79	5.41
2002-07-11 14:00:00	2002	7	11	14	1.7	5.14
2002-07-11 15:00:00	2002	7	11	15	1.78	5.38
2002-07-11 16:00:00	2002	7	11	16	1.92	5.24
2002-07-11 17:00:00	2002	7	11	17	2.01	5.38
2002-07-11 18:00:00	2002	7	11	18	2.03	5.32
2002-07-11 19:00:00	2002	7	11	19	2.13	5.36
2002-07-11 20:00:00	2002	7	11	20	2.13	5.34
2002-07-11 21:00:00	2002	7	11	21	2.23	5.39
2002-07-11 22:00:00	2002	7	11	22	2.3	5.37
2002-07-11 23:00:00	2002	7	11	23	2.2	5.39
2002-07-12 00:00:00	2002	7	12	0	2.27	5.45
2002-07-12 01:00:00	2002	7	12	1	2.01	5.44
2002-07-12 02:00:00	2002	7	12	2	1.81	5.29
2002-07-12 03:00:00	2002	7	12	3	1.86	5.28
2002-07-12 04:00:00	2002	7	12	4	1.78	5.41
2002-07-12 05:00:00	2002	7	12	5	1.66	5.3
2002-07-12 06:00:00	2002	7	12	6	1.68	5.33
2002-07-12 07:00:00	2002	7	12	7	1.67	5.31
2002-07-12 08:00:00	2002	7	12	8	1.59	5.14
2002-07-12 09:00:00	2002	7	12	9	1.67	5.33
2002-07-12 10:00:00	2002	7	12	10	1.58	5.5
2002-07-12 11:00:00	2002	7	12	11	1.42	5.23
2002-07-12 12:00:00	2002	7	12	12	1.49	5.31
2002-07-12 13:00:00	2002	7	12	13	1.34	5.14
2002-07-12 14:00:00	2002	7	12	14	1.16	5.14
2002-07-12 15:00:00	2002	7	12	15	1.08	5.22
2002-07-12 16:00:00	2002	7	12	16	1.03	5.48
2002-07-12 17:00:00	2002	7	12	17	1.02	5.51
2002-07-12 18:00:00	2002	7	12	18	1.02	5.48
2002-07-12 19:00:00	2002	7	12	19	1.02	5.64
2002-07-12 20:00:00	2002	7	12	20	1.03	5.62
2002-07-12 21:00:00	2002	7	12	21	0.99	5.49
2002-07-12 22:00:00	2002	7	12	22	1.01	5.64
2002-07-12 23:00:00	2002	7	12	23	1.02	5.7
2002-07-13 00:00:00	2002	7	13	0	1.04	5.87
2002-07-13 01:00:00	2002	7	13	1	0.99	5.59
2002-07-13 02:00:00	2002	7	13	2	0.96	5.59
2002-07-13 03:00:00	2002	7	13	3	0.89	5.55
2002-07-13 04:00:00	2002	7	13	4	0.85	5.66
2002-07-13 05:00:00	2002	7	13	5	0.82	5.96
2002-07-13 06:00:00	2002	7	13	6	0.86	6.02
2002-07-13 07:00:00	2002	7	13	7	0.76	5.74
2002-07-13 08:00:00	2002	7	13	8	0.76	6.1
2002-07-13 09:00:00	2002	7	13	9	0.78	6.37
2002-07-13 10:00:00	2002	7	13	10	0.77	6.55
2002-07-13 11:00:00	2002	7	13	11	0.78	6.78
2002-07-13 12:00:00	2002	7	13	12	0.7	6.46
2002-07-13 13:00:00	2002	7	13	13	0.73	6.51
2002-07-13 14:00:00	2002	7	13	14	0.77	6.49
2002-07-13 15:00:00	2002	7	13	15	0.73	5.6
2002-07-13 16:00:00	2002	7	13	16	0.76	5.82
2002-07-13 17:00:00	2002	7	13	17	0.7	4.97
2002-07-13 18:00:00	2002	7	13	18	0.79	4.6
2002-07-13 19:00:00	2002	7	13	19	0.93	5.13
