time	year	month	day	hour	WVHT	APD
2008-12-31 23:00:00	2008	12	31	23	2.32	8.66
2009-01-01 00:00:00	2009	1	1	0	2.21	8.16
2009-01-01 01:00:00	2009	1	1	1	2.31	8.35
2009-01-01 02:00:00	2009	1	1	2	2.26	7.98
2009-01-01 03:00:00	2009	1	1	3	2.39	7.58
2009-01-01 04:00:00	2009	1	1	4	2.35	7.39
2009-01-01 05:00:00	2009	1	1	5	2.48	7.36
2009-01-01 06:00:00	2009	1	1	6	2.53	6.96
2009-01-01 07:00:00	2009	1	1	7	2.53	6.9
2009-01-01 08:00:00	2009	1	1	8	2.5	6.83
2009-01-01 09:00:00	2009	1	1	9	2.7	6.64
2009-01-01 10:00:00	2009	1	1	10	2.52	6.41
2009-01-01 11:00:00	2009	1	1	11	2.57	6.47
2009-01-01 12:00:00	2009	1	1	12	2.52	6.28
2009-01-01 13:00:00	2009	1	1	13	2.36	6.23
2009-01-01 14:00:00	2009	1	1	14	2.29	6.27
2009-01-01 15:00:00	2009	1	1	15	2.26	6.13
2009-01-01 16:00:00	2009	1	1	16	2.2	6.43
2009-01-01 17:00:00	2009	1	1	17	2.22	6.79
2009-01-01 18:00:00	2009	1	1	18	2.2	6.76
2009-01-01 19:00:00	2009	1	1	19	2.13	6.33
2009-01-01 20:00:00	2009	1	1	20	2.04	6.29
2009-01-01 21:00:00	2009	1	1	21	1.98	6.46
2009-01-01 22:00:00	2009	1	1	22	1.98	6.42
2009-01-01 23:00:00	2009	1	1	23	2.01	6.3
2009-01-02 00:00:00	2009	1	2	0	2.0	6.28
2009-01-02 01:00:00	2009	1	2	1	1.98	6.11
2009-01-02 02:00:00	2009	1	2	2	2.02	6.12
2009-01-02 03:00:00	2009	1	2	3	2.2	6.26
2009-01-02 04:00:00	2009	1	2	4	2.09	6.12
2009-01-02 05:00:00	2009	1	2	5	2.17	6.1
2009-01-02 06:00:00	2009	1	2	6	2.05	6.13
2009-01-02 07:00:00	2009	1	2	7	2.05	6.23
2009-01-02 08:00:00	2009	1	2	8	1.8	6.1
2009-01-02 09:00:00	2009	1	2	9	1.94	6.54
